,Country,Alpha_flood_occurences,Beta_flood_occurences,Alpha_storm_occurences,Beta_storm_occurences
77,GIN,-0.3078904820850646,-0.24769224261818548,-0.8723236740500643,-1.3430655971277226
78,CPV,-0.903086699297998,-1.2499946375648232,-0.9749083616413126,-1.169902982761546
79,COM,-0.7952938055469585,-1.0016784114870076,-0.7723223755960307,-0.5904664716264831
80,DDR,-1.1346850257282044,-1.5458032773777877,-1.151415339337419,-1.5501096704608646
81,GNB,-0.5236320503945513,-0.8321683649849713,-1.023403686019781,-1.1563844777592245
82,CMR,-0.10063861509016504,-0.2875586336158882,-1.1668434347841798,-1.556314621567379
83,GAB,-0.9498265129271953,-1.1893094490135223,-0.6779721499792792,-0.8593061524672935
84,REU,-1.1506682549306955,-1.5729894562529347,-1.17828744010831,-1.5618901466071669
85,IRL,-0.617134250001317,-0.7297338087947884,-0.4196784224085247,-0.622021515054111
86,LUX,-1.1442055627591607,-1.5655387930696454,-0.8751789616272663,-0.9148266298784181
87,MRT,0.2784642569191794,-0.5463674547439575,-0.7912287586322065,-1.0016831638091108
88,LSO,-0.7931961227868031,-1.023103182505991,-0.44956866637106657,-0.8631244418412298
89,LBN,-0.9249241180145816,-1.2657886178762716,-0.7917525650065426,-0.29056198459169214
90,MDV,-0.8723117029416227,-0.9512387679913199,-1.1046316260351217,-1.5481782332355707
91,PRK,0.08820479771019694,-0.12451836426366743,-0.45423928355816107,-0.38751080020350936
92,ISL,-1.120453279771131,-1.5370242138193753,-1.1433422967594,-1.561636325023339
93,MLI,0.02078178718143349,-0.00038554922595644036,-1.132556168131064,-1.5380516890244467
94,SUN,-1.151359328353692,-1.5339506818914423,-1.160827616836294,-1.5357242528385162
95,SWZ,-0.5931665153442294,-0.9370265427208587,-0.726874057919754,-1.080259411033119
96,AGO,0.219759014759954,0.2900148147518952,-1.1412148482340874,-1.5322161198469184
97,BDI,-0.014289333624487506,0.14261380371083537,-0.2938133564120421,-0.7274225382993474
98,CIV,-0.765295241850828,0.09344276171864888,-1.1822402128804161,-1.5067830716987765
99,DEU,-0.11369019222435671,-0.3433254884286414,0.38342908688804,-0.06946770982961542
100,ALB,-0.5581099396316084,-0.05952089457700416,-0.6752544806662233,-1.1154075080819066
101,BLR,-0.7595364628472756,-1.0594815297273497,-0.8891066704346728,-1.2544559766629069
102,FIN,-0.8814826681794529,-1.2649124245500882,-1.1818273162544528,-1.5473422212944024
103,NOR,-0.6213595417039077,-1.1840691810200077,-0.6352860800447941,-0.9091037884511184
104,ISR,-0.888716691760239,-0.9153922237222439,-0.6719594744210636,-0.8654197118404874
105,KHM,0.1514438799467665,-0.247866055087329,-0.7073202248278297,-0.8244120179535706
106,RUS,0.9278551840771584,-0.049387423152824315,0.514527685064906,-0.6644518968491832
107,ERI,-0.6981827573702819,-1.1266210659998912,-1.1287630121495018,-1.5290020728894038
108,KAZ,-0.34716372630005793,-0.16349203247939384,-1.1465134206544292,-1.5202094043751115
109,LTU,-0.7489598666744827,-1.0468992546976537,-0.6323053682523772,-1.1633582502244246
110,MAC,-1.1148523322652653,-1.5692181437713297,-0.9505120286027875,-0.8624531199306155
111,COD,-0.09800378686348024,0.2050746757092885,-0.3223241737689949,-0.841157640669186
112,YEM,0.21057718568227654,-0.1128709439431848,-0.6154312884270331,-0.4337941222168989
113,SCG,-1.1465025968769054,-1.5391037502043343,-1.1584932773465457,-1.525336453777789
114,TJK,0.07965742267113773,0.04386129896070712,-0.5771627244347605,-1.2406037878660936
115,UKR,-0.18614796716361848,-0.5013590788820925,-0.2220934180199779,-0.7771435174198853
116,TKM,-1.1253552777736346,-1.560344489873335,-1.1274294622613348,-1.5534750885468795
117,BTN,-0.6619356595107259,-1.1899477595195154,-0.9558225515311148,-1.239787986706076
118,COG,-0.3426636865025422,-0.37341751583236354,-1.140177846209348,-1.5487489218356172
119,AZE,-0.605216284272743,-0.9456703910800655,-1.1019258802378935,-1.5378494498827242
120,AZO,-1.1509060135375075,-1.562435724143445,-1.1594839147308544,-1.5591679628571327
121,ARM,-0.8868138333713361,-1.2860182966660565,-0.9076069517129107,-0.6472530445163703
122,MDA,-0.28165052454959916,-0.8763966620505478,-0.8638146212432463,-1.339166337151954
123,GEO,-0.5246322353467969,-0.02916671646399518,-0.633672435588305,-0.8882043010119877
124,LBR,-0.5442186436436578,-0.6269337887844604,-0.9173026194617642,-1.3011017673488188
125,LBY,-0.9133058918853826,-0.8767055717670234,-1.1524146441355425,-1.5865438174917814
126,MKD,-0.2586375824007636,-0.36919354308891367,-0.9055665129174165,-1.2876581175082449
127,CZE,-0.06292653302018454,-0.519912508539967,-0.28306288284178266,-0.6161643873584839
128,GMB,-0.21859504579056943,-0.4702883260478603,-0.5351817532943975,-0.6543236139779667
129,KWT,-0.9912902332162682,-1.1469919792397503,-1.1329723010886534,-1.5270245739392105
130,KGZ,-0.6651624509176695,-0.9089980864796047,-0.7949896233561193,-0.9846646577341285
131,UGA,-0.16006498451468096,0.16084833782255448,-0.33593057937308624,-0.9749043621634232
132,SVK,0.035394608714363555,-0.6039217047758942,-0.8364700827854444,-0.7085623067947874
133,SYC,-0.951312498568783,-1.1908918168421705,-0.7974834415359376,-1.0324886281974128
134,BIH,-0.41111853510694035,0.043510332746868066,-0.6531807987692794,-1.162929190192915
135,LVA,-1.1184114443424675,-1.5119907621956126,-0.4774700173038136,-1.030788141867414
136,HRV,-0.3939792816312011,-0.12497653477508644,-0.8576197160278867,-0.9911406388693292
137,NAM,-0.006295246199991627,-0.31487653144492134,-1.1619367420044988,-1.490962481810206
138,SPI,-1.1537564906486206,-1.5704567090523147,-1.1367653377128915,-1.5689540072486816
139,SHN,-1.1357610084341923,-1.5386761726579934,-1.1475271097217188,-1.5631094652877915
140,TLS,-0.30618883543932873,-0.8403482738829398,-0.9010128688095789,-1.2702411040477612
141,EST,-1.142698782813641,-1.5204576944340282,-0.9239969477489491,-1.2639738120491448
142,UZB,-0.9010198438201223,-1.3010837890172817,-1.163367565943571,-1.542143166892607
143,SVN,-0.7168344056068102,-0.8132197739395626,-0.7478485558962362,-1.063483413701304
144,PSE,-0.616247249553972,-0.7184694462087478,-0.8308818716377896,-0.7266485030288806
145,MNE,-0.5971634693497396,-0.745618298173019,-1.116607743029465,-1.5389024293375329
146,SRB,-0.7215497871013316,0.2934540757442692,-1.1534725781104849,-1.5662312599745334
147,SSD,-0.8209397194540254,-0.15718963519595888,-1.1124354227628626,-1.5484959763162578
148,ARE,-0.970045853245526,-1.1324171889752743,-1.161120931071931,-1.505324465519972
149,QAT,-1.0106603604338826,-1.156046939714564,-1.1296977489167348,-1.5264164793809518
150,IMN,-1.1612026598090848,-1.5471513494857052,-1.1412635542540772,-1.5432212461327672
